ticket_id,agent_id,status,resolution_time,category
TKT02001,A037,Pending,1h 10m 46s,Delivery
TKT02002,A005,Pending,2h 29m 10s,Technical
TKT02003,A012,Resolved,0h 8m 37s,Billing
TKT02004,A004,Resolved,0h 26m 33s,Delivery
TKT02005,A013,Open,1h 20m 8s,Billing
TKT02006,A032,Resolved,2h 22m 15s,General
TKT02007,A027,Open,0h 6m 2s,Billing
TKT02008,A002,Resolved,1h 45m 2s,Technical
TKT02009,A023,Resolved,0h 27m 45s,Technical
TKT02010,A017,Pending,1h 21m 36s,General
TKT02011,A033,Open,2h 41m 58s,Returns
TKT02012,A027,Resolved,0h 16m 10s,Billing
TKT02013,A020,Resolved,0h 7m 23s,Returns
TKT02014,A022,Resolved,0h 52m 50s,General
TKT02015,A014,Pending,2h 54m 18s,General
TKT02016,A029,Open,0h 43m 32s,Billing
TKT02017,A002,Resolved,2h 19m 14s,General
TKT02018,A014,Resolved,1h 27m 3s,Delivery
TKT02019,A032,Pending,2h 9m 42s,Technical
TKT02020,A043,Resolved,2h 43m 29s,Returns
TKT02021,A050,Pending,2h 7m 16s,Returns
TKT02022,A047,Open,0h 53m 28s,Technical
TKT02023,A050,Open,2h 53m 29s,Billing
TKT02024,A043,Open,2h 11m 6s,Technical
TKT02025,A035,Resolved,0h 20m 13s,Technical
TKT02026,A022,Open,2h 4m 1s,Delivery
TKT02027,A032,Pending,1h 3m 49s,Billing
TKT02028,A037,Pending,2h 23m 56s,Technical
TKT02029,A024,Resolved,1h 51m 55s,Technical
TKT02030,A037,Open,2h 39m 16s,Delivery
TKT02031,A047,Resolved,1h 44m 35s,General
TKT02032,A042,Resolved,2h 15m 20s,Delivery
TKT02033,A049,Resolved,1h 26m 45s,Billing
TKT02034,A044,Resolved,0h 26m 53s,Delivery
TKT02035,A003,Resolved,0h 16m 29s,Billing
TKT02036,A026,Pending,1h 43m 36s,Technical
TKT02037,A034,Open,2h 51m 25s,Technical
TKT02038,A009,Open,1h 41m 17s,Delivery
TKT02039,A017,Resolved,2h 45m 19s,General
TKT02040,A022,Pending,2h 13m 5s,Delivery
TKT02041,A042,Pending,2h 20m 2s,General
TKT02042,A047,Pending,1h 1m 33s,Billing
TKT02043,A025,Resolved,1h 38m 20s,Returns
TKT02044,A032,Pending,2h 3m 33s,Delivery
TKT02045,A025,Open,2h 15m 50s,Billing
TKT02046,A001,Open,1h 59m 12s,Delivery
TKT02047,A013,Open,0h 36m 9s,General
TKT02048,A028,Resolved,1h 40m 12s,Returns
TKT02049,A001,Open,0h 58m 20s,Billing
TKT02050,A009,Resolved,1h 21m 12s,Billing
TKT02051,A011,Open,2h 22m 39s,Technical
TKT02052,A018,Open,0h 17m 11s,General
TKT02053,A027,Open,0h 1m 5s,Delivery
TKT02054,A040,Resolved,0h 29m 44s,Technical
TKT02055,A040,Open,0h 59m 15s,Returns
TKT02056,A004,Pending,2h 16m 34s,Delivery
TKT02057,A038,Resolved,2h 13m 7s,Billing
TKT02058,A045,Pending,1h 22m 18s,Billing
TKT02059,A033,Resolved,1h 54m 10s,Delivery
TKT02060,A028,Open,2h 23m 38s,Returns
TKT02061,A019,Resolved,1h 33m 48s,Technical
TKT02062,A037,Resolved,0h 49m 54s,Delivery
TKT02063,A048,Pending,0h 36m 29s,Billing
TKT02064,A034,Open,1h 17m 19s,Billing
TKT02065,A027,Open,1h 27m 40s,Billing
TKT02066,A026,Resolved,1h 9m 52s,Delivery
TKT02067,A047,Resolved,2h 38m 13s,Technical
TKT02068,A013,Open,2h 53m 41s,Billing
TKT02069,A004,Resolved,2h 51m 54s,Billing
TKT02070,A021,Resolved,0h 32m 55s,General
TKT02071,A015,Resolved,2h 35m 18s,General
TKT02072,A001,Resolved,2h 29m 53s,Delivery
TKT02073,A019,Resolved,2h 4m 18s,Delivery
TKT02074,A039,Resolved,1h 30m 2s,Returns
TKT02075,A024,Resolved,1h 30m 29s,General
TKT02076,A019,Pending,2h 43m 12s,Billing
TKT02077,A048,Resolved,0h 15m 23s,Delivery
TKT02078,A010,Open,0h 52m 30s,Billing
TKT02079,A026,Open,2h 48m 31s,Delivery
TKT02080,A004,Open,0h 18m 20s,General
TKT02081,A050,Open,2h 28m 58s,Delivery
TKT02082,A011,Open,2h 45m 6s,Technical
TKT02083,A020,Pending,1h 2m 26s,Technical
TKT02084,A033,Resolved,1h 35m 2s,Delivery
TKT02085,A040,Resolved,1h 28m 47s,Returns
TKT02086,A008,Pending,2h 55m 23s,Delivery
TKT02087,A050,Resolved,0h 17m 19s,Technical
TKT02088,A012,Pending,2h 49m 20s,Delivery
